term,estimate,std.error,statistic,p.value,model,ATE
Z,5.751223281770098,2.402265282716469,2.394083335903121,0.017031624002986568,OLS + controls,5
Z,5.741417929458737,2.3755031317445083,2.4169271144013975,0.016011961387136082,OLS + interaction,5
Z,4.980317289037129,0.46355140653318566,10.74382952752531,2.3377684925221237e-24,RFA,5
Z,5.375648476017602,1.0144000345142903,5.29933782838596,1.7489448634300884e-7,SVM,5
Z,28.924344850721482,21.087825768247583,1.371613421345387,0.1708014501678422,OLS,5
Z,3.491522513306056,3.524990054138286,0.9905056353867042,0.32240901347615714,OLS + controls,5
Z,3.7564126467523438,3.734207770311394,1.0059463419838308,0.31493187029332687,OLS + interaction,5
Z,2.7706582131835664,1.9186411929941571,1.444073140564539,0.14934721343744434,RFA,5
Z,2.745898020752402,1.9503691204478844,1.4078863287795655,0.15978864178831367,SVM,5
Z,7.183026864402179,21.110366347340562,0.34026064475698126,0.733803727841969,OLS,5
Z,3.618256462569977,2.770211536405443,1.3061300247362828,0.19211251118999498,OLS + controls,5
Z,4.119264208674356,2.795646156284224,1.473456932099516,0.14126219573404064,OLS + interaction,5
Z,4.884814236133268,0.3808942505788233,12.824594303300966,9.834181509768773e-33,RFA,5
Z,5.082028327680401,1.0494761237861203,4.842443017518425,1.7145161435690247e-6,SVM,5
Z,-17.327838079652604,24.60956048787436,-0.704110018063524,0.4816933670433854,OLS,5
Z,5.743534880076555,3.5317182704251717,1.6262720976849352,0.10452563389951998,OLS + controls,5
Z,5.761812797807222,3.612849348408651,1.5948112534349441,0.11139141099624611,OLS + interaction,5
Z,4.360488987132534,1.282852806678259,3.3990563566082996,7.304352542197451e-4,RFA,5
Z,5.25976940608678,1.3793495449528799,3.8132244472277397,1.5437376927985373e-4,SVM,5
Z,-2.814342493748493,22.52939051892592,-0.12491871412962954,0.9006383112080099,OLS,5
Z,-0.17545195957272872,3.342797930438125,-0.052486558632556364,0.9581620943578981,OLS + controls,5
Z,0.05667333878458917,3.403407947839475,0.016651938190532258,0.986720985577599,OLS + interaction,5
Z,6.171914492962727,0.8066401539158693,7.651385147393051,1.0370666836796671e-13,RFA,5
Z,6.880067450685213,1.4481523640329912,4.7509278868452505,2.65268529733918e-6,SVM,5
Z,38.21912430011912,21.766359238673665,1.7558804337021503,0.07972353959185878,OLS,5
Z,0.7110986897309757,2.456526817737881,0.28947320444309194,0.7723399988035033,OLS + controls,5
Z,0.3805570365636514,2.4682523092824566,0.15418076795977265,0.8775299188968447,OLS + interaction,5
Z,4.924899625222957,0.3151942330785488,15.624967427610372,4.4871066062759424e-45,RFA,5
Z,4.617927933468126,1.0066448708954223,4.58744495400888,5.684721556553576e-6,SVM,5
Z,19.88773991374958,24.56496677004224,0.8095976721614504,0.41855809943735,OLS,5
Z,-0.5416194340884602,3.431363643018759,-0.15784378761207832,0.8746440023541117,OLS + controls,5
Z,-0.5594538377530656,3.4476914122934192,-0.16226911601143398,0.8711600175632216,OLS + interaction,5
Z,5.180339606616111,0.40745778367671365,12.71380696147484,2.8732368910660984e-32,RFA,5
Z,6.630008761878641,1.1743707264242171,5.645584152174862,2.7684885835984374e-8,SVM,5
Z,-15.01068014573186,23.6296604759767,-0.6352473900753927,0.5255588468693713,OLS,5
Z,-2.82884980535484,3.396975473105715,-0.8327554401705878,0.40538265548654495,OLS + controls,5
Z,-2.821856952466281,3.377512932215517,-0.8354836855103476,0.40384769697210277,OLS + interaction,5
Z,4.440081815785128,0.8744484579284616,5.077579788182747,5.410918084227763e-7,RFA,5
Z,3.0583710781888733,1.911825553571718,1.599712417524262,0.11029658190518861,SVM,5
Z,24.613606839008135,22.639910640481304,1.0871777380162342,0.2774841755291723,OLS,5
Z,-2.1777388916420968,3.004727942851547,-0.7247707390025397,0.4689337580350815,OLS + controls,5
Z,-2.4900470006402164,3.0419611170292944,-0.8185663474462607,0.4134269658999121,OLS + interaction,5
Z,6.069256542929653,1.5434386533789974,3.9322952873069736,9.606556126587602e-5,RFA,5
Z,5.67646937069404,1.3213481168338184,4.2959681089158055,2.0922035715360947e-5,SVM,5
Z,19.339779734168935,22.459416249957115,0.8610989492750446,0.38959794562077843,OLS,5
Z,4.69767323502563,2.9395268856816568,1.598105211388897,0.11065510006094861,OLS + controls,5
Z,4.667226358729013,2.9905064353225006,1.560680928020037,0.11923684332095649,OLS + interaction,5
Z,4.2386031962587305,0.967750792587226,4.379849883591486,1.4486230260471748e-5,RFA,5
Z,4.690586961551966,1.4276302473583993,3.2855754984395604,0.0010894765216736464,SVM,5
Z,47.09107903876643,22.450584847530475,2.097543532098513,0.03644897096687476,OLS,5
Z,-2.943745069609053,3.30700222137642,-0.8901551533835456,0.37381326247678137,OLS + controls,5
Z,-2.674814746318053,3.1436290429130906,-0.8508684421109038,0.3952530084655783,OLS + interaction,5
Z,4.686242780267781,0.3433644008228731,13.648015836927753,2.9653827524437324e-36,RFA,5
Z,6.148832916861427,0.9566768920544799,6.427282782650581,3.0438722273231363e-10,SVM,5
Z,-37.70665698006477,22.048817857142037,-1.7101441548645593,0.08786207465132957,OLS,5
Z,-1.794336393160738,3.1024678948735565,-0.5783577635487079,0.5632845764486392,OLS + controls,5
Z,-1.8744642002102483,3.081526077735674,-0.6082908769630199,0.5432730139396078,OLS + interaction,5
Z,5.313243704109278,1.0049207560206064,5.287226552220131,1.8621521137151725e-7,RFA,5
Z,5.064939847555243,2.3396044905335915,2.164870117170995,0.030871941393266534,SVM,5
Z,40.0924542178518,22.93736574735911,1.7479101418813903,0.08109585860709997,OLS,5
Z,-2.1533768907500623,3.222455962729456,-0.6682409055874664,0.5042900428667532,OLS + controls,5
Z,-2.2451677733659148,3.157832305248597,-0.7109838510532199,0.47742844017144903,OLS + interaction,5
Z,4.012576871590731,0.5633036564365634,7.123292784879355,3.7113230619431525e-12,RFA,5
Z,6.265144027355015,1.3379090797669413,4.682787584075878,3.65461303848777e-6,SVM,5
Z,24.801849878852853,22.856875255743656,1.0850936359999799,0.27840518393398545,OLS,5
Z,2.4394635531624678,3.109227648377605,0.7845882736940731,0.43306880918821455,OLS + controls,5
Z,3.1090005607297564,3.2629979006867256,0.9528049527936996,0.34115298954668294,OLS + interaction,5
Z,5.006428749031331,0.6268479854398441,7.986671195119883,9.677520987635707e-15,RFA,5
Z,7.078220754631564,1.332005949785211,5.313955809111021,1.6211763792268647e-7,SVM,5
Z,7.048299087820246,23.37339622240337,0.3015522015180858,0.7631193278138759,OLS,5
Z,0.7746466503358861,3.4466939272571593,0.22475063544512097,0.8222656434575679,OLS + controls,5
Z,0.8929654288436649,3.4875680118702794,0.256042441553647,0.7980242197060528,OLS + interaction,5
Z,5.850038709751961,0.710245497554759,8.236643146478983,1.5721631823526005e-15,RFA,5
Z,6.278411981199987,1.818913649021179,3.451737241390552,6.043905853747564e-4,SVM,5
Z,3.196163656279591,22.00021028860347,0.14527877753674315,0.8845495500370182,OLS,5
Z,0.6516405465428389,3.045575689165674,0.21396301161090298,0.8306636519488869,OLS + controls,5
Z,0.5321014889941986,3.054982415546555,0.17417497602813614,0.8617990174677479,OLS + interaction,5
Z,5.031025034810493,0.38324828239582837,13.127325720443347,5.132935551327699e-34,RFA,5
Z,4.285151363173301,1.2278600849044399,3.48993457467656,5.260341032239915e-4,SVM,5
Z,20.504835853754667,23.769853359754,0.8626404018323687,0.3887504303210615,OLS,5
Z,-3.8020130924258533,3.4737703862416005,-1.0944917682194275,0.27426949891857505,OLS + controls,5
Z,-3.6726405693915267,3.5214498648517565,-1.0429342203757699,0.2974868103855334,OLS + interaction,5
Z,5.732649788447787,0.8102557185988283,7.075111791079036,5.093260390781314e-12,RFA,5
Z,5.025060119125173,1.848826702256955,2.717972491954401,0.006797291020260641,SVM,5
Z,17.814506738369182,24.942075195302234,0.7142351467902114,0.47541641716249683,OLS,5
Z,-1.5911995334969238,4.7974497115998105,-0.3316761256818479,0.7402736460786934,OLS + controls,5
Z,-1.0095220110436791,3.9119204255921423,-0.25806302307155676,0.7964653089426984,OLS + interaction,5
Z,1.394208705231479,3.48349154263335,0.4002331247738656,0.6891564449586187,RFA,5
Z,0.7117701489115722,5.219848851889835,0.1363583829930013,0.8915930761481308,SVM,5
Z,-0.04445375148885297,24.01080029212326,-0.0018514064899134586,0.998523533575109,OLS,5
Z,2.796994130811231,4.905241862530146,0.5702051416010155,0.5687962415700012,OLS + controls,5
Z,2.711733312550548,4.546998185933626,0.5963787979813661,0.5511942785475721,OLS + interaction,5
Z,6.087616414987165,2.1781466437346255,2.7948606823594795,0.005392559451493882,RFA,5
Z,5.247577768586297,2.3699189003162524,2.21424360465923,0.027264151029598546,SVM,5
Z,14.04470927939167,23.015908289461834,0.610217467968546,0.5419961133039535,OLS,5
Z,2.5488189283951885,3.405116444083212,0.7485262164305891,0.45449689369695623,OLS + controls,5
Z,2.525425972404609,3.3889281933390807,0.7451990211443015,0.4565043782321311,OLS + interaction,5
Z,6.017338621975129,0.8142197226576522,7.390313025499121,6.231482876199457e-13,RFA,5
Z,6.944966928158421,1.7227856439211278,4.031242628857415,6.417126625206794e-5,SVM,5
Z,29.00777162413678,22.289075218777253,1.3014345072378515,0.19371150884884072,OLS,5
Z,-1.7279361595174751,3.328618923408526,-0.5191150441901766,0.6039115958760974,OLS + controls,5
Z,-0.9283524991073765,3.0278174663268542,-0.30660781550797767,0.7592705721133693,OLS + interaction,5
Z,3.1498897128591565,1.176606242517197,2.6770975701440904,0.007671334841887809,RFA,5
Z,4.08091361948108,1.265540556816386,3.2246407256572565,0.0013441239488404906,SVM,5
Z,11.388268547165271,24.34891679169015,0.46771150620761426,0.6401955144782705,OLS,5
Z,-7.28097413995356,4.830460225468655,-1.5073044389361792,0.13236798808066577,OLS + controls,5
Z,-7.265746709651459,4.865123346181304,-1.49343525182243,0.13595912341239316,OLS + interaction,5
Z,1.4928613683186758,4.214579923156445,0.3542135623330688,0.723328768530859,RFA,5
Z,4.615362927908956,1.3114534538692373,3.5192731501770447,4.72412393028946e-4,SVM,5
Z,19.01775927588169,20.56962223533649,0.9245555926258647,0.35564489373125163,OLS,5
Z,0.24554481519372523,2.7965372968600097,0.08780316124137744,0.9300684910859947,OLS + controls,5
Z,0.24327718812618426,2.8000189039023113,0.08688412345614359,0.9307986829515571,OLS + interaction,5
Z,4.754024865297684,0.37366789781476295,12.72259376066172,2.6394543386607587e-32,RFA,5
Z,4.836065124576814,1.151480138277743,4.1998684682569225,3.164512347084251e-5,SVM,5
Z,-9.05984133167319,22.857643322443746,-0.39635937983061453,0.6920097022908402,OLS,5
Z,-1.5153269108333052,3.4609537506826658,-0.4378350651274696,0.6616960653667349,OLS + controls,5
Z,-1.6036354811141103,3.467718992057282,-0.46244677979593923,0.6439637545226806,OLS + interaction,5
Z,5.335137017062517,0.7045361391770264,7.572552663223959,1.7911757896307567e-13,RFA,5
Z,4.720321571271145,1.2754751284339358,3.7008338822466014,2.3885751031480607e-4,SVM,5
Z,-7.982495721341037,21.48102788994012,-0.37160678540338177,0.7103436895097524,OLS,5
Z,2.847217083968929,2.9994255764269515,0.9492541193039568,0.34295273061860676,OLS + controls,5
Z,3.112650608543211,2.9716623081228497,1.047444253687567,0.2954048715988483,OLS + interaction,5
Z,4.899619799234257,0.8608951344752753,5.691308503236724,2.1547701734859196e-8,RFA,5
Z,5.146860502545771,1.5648686618838061,3.289004775870407,0.0010765700084189164,SVM,5
Z,-51.32177708827502,22.13978423844852,-2.3180793694975717,0.020849248427724443,OLS,5
Z,-1.9393952705312005,3.3634481787964745,-0.5766092317869944,0.5644645109410673,OLS + controls,5
Z,-2.3704179966382326,3.5166912484257815,-0.6740477992486065,0.500594928864085,OLS + interaction,5
Z,5.806961840424793,1.2206201525795761,4.757386504026459,2.572814086636427e-6,RFA,5
Z,5.388136437510729,1.6527501043317483,3.260103522842795,0.0011899305033926087,SVM,5
Z,41.965259731691354,21.536872761883078,1.9485307916181476,0.051912737210061025,OLS,5
Z,0.7013896459132829,3.2816988550441377,0.21372760783190434,0.830847130544489,OLS + controls,5
Z,0.7510751420851308,3.22419782127467,0.2329494602127723,0.815896748585494,OLS + interaction,5
Z,6.119277595998134,0.9397563614449758,6.511557513257044,1.8198100814858978e-10,RFA,5
Z,5.762521451459512,1.3438214310993413,4.288160106767579,2.1643738660760446e-5,SVM,5
Z,-9.295980834956428,24.614386597623213,-0.3776645336290467,0.7058407224416682,OLS,5
Z,-6.025056566504231,3.5625227537310162,-1.69123314656565,0.09141918954786889,OLS + controls,5
Z,-6.451252144729633,3.6162697644404624,-1.7839521288389892,0.07504267727986094,OLS + interaction,5
Z,5.0634638309015525,0.5254347880879655,9.636712196631057,2.881960998252257e-20,RFA,5
Z,5.2839080643242164,1.5271363298687457,3.460010714811793,5.865469921238563e-4,SVM,5
Z,50.797920902602705,21.737610756808365,2.336867720694302,0.019841561764720836,OLS,5
Z,5.262185249472002,3.067962816782055,1.7152050281337625,0.08693094487411084,OLS + controls,5
Z,5.364127296081131,3.135296767814663,1.710883432517933,0.08772788357130887,OLS + interaction,5
Z,5.094589236768285,0.4961524970319244,10.26819227403884,1.448414700040944e-22,RFA,5
Z,4.352482668472444,1.3733410394485457,3.169265712921642,0.0016222427492285784,SVM,5
Z,-36.39305609479254,24.343176846574,-1.4950002756075944,0.13554774964341124,OLS,5
Z,-0.7139867936837414,3.5009114030042023,-0.2039431198033332,0.8384814291153588,OLS + controls,5
Z,-0.605680525563984,3.6179134530281702,-0.16741155735968014,0.8671144644065285,OLS + interaction,5
Z,6.486384560936118,0.8504905729200283,7.626638986327757,1.23170869105771e-13,RFA,5
Z,5.871663798618442,1.2165029022326384,4.826674714743568,1.849340666733338e-6,SVM,5
Z,7.44732686473672,25.334200575512263,0.2939633655515942,0.7689083752226542,OLS,5
Z,-8.480292718128338,3.403452024802703,-2.4916739405544983,0.013039198242805725,OLS + controls,5
Z,-7.076179134181892,3.3068454393835323,-2.139857838502741,0.03285353083579864,OLS + interaction,5
Z,4.812587555386559,0.48480310270882665,9.926890996564032,2.600821526126272e-21,RFA,5
Z,5.38190917451535,1.3133343993733615,4.097897060400801,4.866775457204289e-5,SVM,5
Z,6.74095520965458,20.731293161085535,0.32515845284113526,0.7451977092969654,OLS,5
Z,4.681775482089075,2.8814721245003874,1.6247859704354555,0.10484212993880455,OLS + controls,5
Z,4.055285519113437,2.6869465839992985,1.5092542379750173,0.13187054810973006,OLS + interaction,5
Z,5.416941606392839,0.27840258784807503,19.45722433208443,3.8802078235535166e-63,RFA,5
Z,5.136515745030266,1.1568184173153646,4.440209170381821,1.1078229670219303e-5,SVM,5
Z,19.19000552923799,22.18075496156697,0.8651646692138699,0.38736498138272524,OLS,5
Z,-2.5785558701334645,2.732059080594071,-0.9438140955475868,0.34572323192958887,OLS + controls,5
Z,-2.6457461634063484,2.7315580415643286,-0.9685850064863213,0.3332243422101727,OLS + interaction,5
Z,4.640339114045998,0.8387234804961898,5.5326209674024724,5.1053676428961616e-8,RFA,5
Z,3.3363377688994804,1.6839230368212443,1.981288750106723,0.048108454471750335,SVM,5
Z,-11.771705886266385,23.326212532803513,-0.5046556902331188,0.6140239111179859,OLS,5
Z,-1.3218859911235934,3.4642863464136044,-0.3815752680179204,0.7029395105036065,OLS + controls,5
Z,-1.5101199242303907,3.3768757996771037,-0.4471943932242898,0.6549299248234064,OLS + interaction,5
Z,5.334656255015897,0.44646545079259375,11.948642936526168,4.143958977489465e-29,RFA,5
Z,6.415422812822869,1.2416333180708814,5.166922246247769,3.4495596779504923e-7,SVM,5
Z,24.956204094652907,22.12964127649294,1.1277274576141667,0.2599780703046106,OLS,5
Z,1.577970548091032,3.089630122583569,0.5107312155448311,0.6097660568386587,OLS + controls,5
Z,1.249172982768836,3.1610531509094324,0.3951762033515476,0.692882745653582,OLS + interaction,5
Z,5.690844898239122,0.35709720018872076,15.936403016410075,1.6728639036234162e-46,RFA,5
Z,5.310494413612648,1.023318168060314,5.189485127268501,3.0756683092070415e-7,SVM,5
Z,-22.460046430417144,24.15370953775997,-0.9298797932178869,0.3528838440776684,OLS,5
Z,-1.7150699967007315,3.110997332900495,-0.5512926605763785,0.5816808223824708,OLS + controls,5
Z,-1.7027554433531882,3.02516916718143,-0.5628628844381806,0.5737825788116095,OLS + interaction,5
Z,4.649930831939004,0.43333071772141474,10.73067438281265,2.6244430534355873e-24,RFA,5
Z,4.380150224782237,1.186199058636069,3.6925929024245554,2.4651975276474626e-4,SVM,5
Z,10.547238455856329,23.140713472187425,0.4557870900796962,0.648741764869214,OLS,5
Z,1.7244727024515198,3.704901784236077,0.4654570627995995,0.6418080668517785,OLS + controls,5
Z,1.8343430028704915,3.664668139732964,0.500548189611558,0.6169111589098417,OLS + interaction,5
Z,4.198402409001382,0.6090491994683477,6.893371525102173,1.655543627346451e-11,RFA,5
Z,4.601438747508175,1.5053225840721212,3.056779188857049,0.002357468658512897,SVM,5
Z,23.55172878531895,22.88805122637344,1.0289966826961994,0.30398074002695846,OLS,5
Z,-6.713626141570631,3.8714228723320296,-1.7341495266639635,0.0835116235171428,OLS + controls,5
